id,date,start_time,end_time,progress,duration,lab,country,userlanguage,minimal_group,dg_min_in_self,dg_min_out_self,dg_min_in_out,dg_nat_in_self,dg_nat_out_self,dg_nat_in_out,dg_fam_in_self,dg_fam_out_self,dg_fam_in_out,dg_min_bias_first,dg_min_bias_third,dg_nat_bias_first,dg_nat_bias_third,dg_fam_bias_first,dg_fam_bias_third,att_min_in,att_min_out,att_min_bias,att_nat_in,att_nat_out,att_nat_bias,att_fam_in,att_fam_out,att_fam_bias,self_esteem,trust_in,trust_out,trust_in_out,trust_institution,horizontal_individualism,vertical_collectivism,permeability,family_tie_importance,family_tie_parental_duties,family_tie_respect_parents,family_tie_sum,embeddedness,attention_general_1,attention_minimal,attention_general_2,pass_attention_general_1,pass_attention_minimal,pass_attention_general_2,pass_attention_total,interpersonaltrust_1,interpersonaltrust_2,interpersonaltrust_3,interpersonaltrust_4,interpersonaltrust_5,interpersonaltrust_6,institutiontrust_1,institutiontrust_2,institutiontrust_3,familytie1,familytie2,familytie3_1,familytie3_2,familytie3_3,familytie3_4,col_ind_1,col_ind_2,col_ind_3,col_ind_4,col_ind_5,col_ind_6,col_ind_7,col_ind_8,col_ind_9,col_ind_10,col_ind_11,col_ind_12,col_ind_13,col_ind_14,gender,age,political_affiliation,political_orientation,income_when16,work_situation,education,marital_status,num_children,num_siblings,num_cousins,residence_wparents,size_of_residence,freq_moving,region_childhood,region_current,comment,mgp_familiarity,mgp_followup,trade_off_1,trade_off_2,trade_off_3,trade_off_4,trade_off_5,trade_off_6,trade_off_7,trade_off_8,trade_off_9,currency,conversionrate,dvorder,mingroup,ingroupletter,outgroupletter,role,gamepayoff,totalmoney
p011,2022-04-04,03:14:45,03:21:21,100,395,01,GBR,EN-GB,L,10,10,10,10,10,10,10,10,10,0,10,0,10,0,10,6,5.25,0.75,6.25,6,0.25,6,6,0,5,3,3,0,3,6,6,0,3,1,2,6,20,Somewhat Disagree,L,18,1,1,1,3,3,3,3,3,3,3,3,3,3,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Rather important,Rather important,Not at all important,Rather important,4,6,6,6,6,5,5,6,7,6,7,7,7,6,Female,25-34,Labour,Somewhat liberal,Above average,Employed (part-time),Completed college / university,Married,3,1,15,No,"10,000 to 100,000 inhabitants",I moved once or twice,East Anglia,East Anglia,NA,No,NA,2,2,2,2,2,2,2,3,3,£,0.067,attfirst,firstletter,L,N,allocator,10,0.67
p012,2022-04-04,03:11:24,03:22:49,100,685,01,GBR,EN-GB,M,10,10,10,10,10,10,15,10,5,0,10,0,10,-5,5,5.75,3,2.75,6.5,5.25,1.25,4.25,6.75,-2.5,2,3.3333333333333335,2.6666666666666665,0.666666666666667,3,7,4.5,-2.5,4,2,2,8,4,Somewhat Disagree,M,18,1,1,1,3,4,2,4,2,3,3,3,3,3,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Not at all important,Not very important,7,4,6,2,4,7,5,6,5,7,8,3,6,8,Female,35-44,Conservative,A little liberal,Above average,Employed (part-time),Completed college / university,Single (never married),0,1,2,No,"More than 500,000 inhabitants",I moved 3-5 times,Inner London — West,Inner London — West,NA,No,NA,1,4,4,2,1,2,4,1,5,£,0.067,attfirst,secondletter,M,K,recipient,10,0.67
p013,2022-04-04,03:04:41,03:23:25,100,1124,01,GBR,EN-GB,K,15,18,15,15,18,15,15,18,15,3,15,3,15,3,15,6,4.25,1.75,6,5.25,0.75,6,5,1,5,3.3333333333333335,3,0.3333333333333335,3.3333333333333335,7.333333333333333,7.5,0.16666666666666696,4,2,2,8,30,Somewhat Disagree,K,18,1,1,1,3,3,3,4,3,3,3,4,3,3,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Rather important,Rather important,8,8,8,6,7,7,8,8,7,8,7,6,6,8,Female,55-64,No affiliation,Moderate,Below average,Pensioned/Retired,Completed primary school,Married,2,2,25,No,"10,000 to 100,000 inhabitants",I moved once or twice,Lancashire,Lancashire,"Attitude towards refugees and aid, especially in view of the current situation in the Ukraine",No,NA,3,2,4,2,2,2,2,2,3,£,0.067,allofirst,firstletter,K,M,allocator,18,1.206
p014,2022-04-04,03:15:36,03:23:32,100,475,01,GBR,EN-GB,M,15,15,12,20,5,0,15,18,15,0,12,-15,0,3,15,4.5,4.5,0,2.5,6.25,-3.75,6,6,0,2,3,3,0,1,6,2.25,-3.75,4,2,2,8,8,Somewhat Disagree,M,18,1,1,1,3,4,2,3,3,3,3,1,1,1,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Rather important,Rather important,3,2,1,1,6,7,5,8,5,3,3,1,2,6,Male,45-54,Other party,Very liberal,Below average,Employed (full-time),Post-graduate degree,In a relationship (but currently unmarried),0,1,6,No,"2,000 to 10,000 inhabitants",I didn't move,East Wales,East Wales,How much you value other people and therefore how much you would share with them,No,NA,2,2,2,3,2,1,3,4,3,£,0.067,attfirst,secondletter,M,K,allocator,15,1.005
p015,2022-04-04,03:10:53,03:23:47,100,773,01,GBR,EN-GB,S,13,12,10,13,12,10,13,14,13,-1,10,-1,10,1,13,3.75,3.75,0,5.25,5.5,-0.25,6.5,4.75,1.75,2,3.6666666666666665,3,0.6666666666666665,2.6666666666666665,6.333333333333333,5.25,-1.083333333333333,4,1,1,6,8,Somewhat Disagree,S,18,1,1,1,3,4,3,4,3,3,3,3,3,2,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents have a life of their own and should not be asked to sacrifice their own well-being for the sake of their children.,Very important,Very important,Not at all important,Rather important,8,5,4,7,7,7,7,6,5,6,6,5,5,8,Female,18-24,No affiliation,Very liberal,Average,Student,Some college / university,Other,0,2,5,No,"2,000 to 10,000 inhabitants",I moved once or twice,Derbyshire and Nottinghamshire,Derbyshire and Nottinghamshire,NA,Yes,"I have only heard the name
",3,2,3,3,2,2,4,3,4,£,0.067,allofirst,secondletter,S,P,recipient,10,0.67
p016,2022-04-04,03:15:53,03:23:47,100,474,01,GBR,EN-GB,N,20,10,10,10,10,10,20,10,0,-10,10,0,10,-10,0,2.5,2.5,0,7,5.5,1.5,4,7,-3,4,3.6666666666666665,2.6666666666666665,1,2.3333333333333335,4.333333333333333,4.25,-0.08333333333333304,4,2,1,7,7,Somewhat Disagree,N,18,1,1,1,3,4,3,4,2,3,3,2,2,3,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents have a life of their own and should not be asked to sacrifice their own well-being for the sake of their children.,Very important,Very important,Not at all important,Rather important,8,3,4,6,7,5,5,4,6,6,4,5,4,8,Female,25-34,Labour,Somewhat liberal,Below average,Employed (full-time),Completed college / university,Single (but married in the past),0,3,3,No,"Up to 2,000 inhabitants",I moved 6-10 times,"Leicestershire, Rutland and Northamptonshire","Leicestershire, Rutland and Northamptonshire",NA,No,NA,3,3,3,3,1,3,3,1,5,£,0.067,attfirst,secondletter,N,L,recipient,10,0.67
p017,2022-04-04,03:15:59,03:23:57,100,478,01,GBR,EN-GB,L,18,20,20,20,20,10,18,18,18,2,20,0,10,0,18,4.75,2,2.75,6.25,3.5,2.75,5.5,5.25,0.25,3,2.6666666666666665,1.6666666666666667,0.9999999999999998,1,6.333333333333333,6.75,0.41666666666666696,3,2,2,7,6,Somewhat Disagree,L,18,1,1,1,3,3,2,3,1,2,2,1,1,1,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Rather important,Rather important,Not very important,Not very important,8,6,7,4,7,8,7,7,4,6,4,7,4,8,Female,25-34,Labour,Moderate,Far below average,Employed (part-time),Completed college / university,Married,2,1,2,No,"10,000 to 100,000 inhabitants",I moved 3-5 times,South Yorkshire,South Yorkshire,NA,No,NA,2,4,2,4,2,2,4,3,3,£,0.067,allofirst,firstletter,L,N,allocator,20,1.34
p018,2022-04-04,03:12:22,03:24:47,100,744,01,GBR,EN-GB,H,15,15,10,15,10,10,10,15,15,0,10,-5,10,5,15,5.75,3.75,2,5.5,5,0.5,6,5.75,0.25,3,3.6666666666666665,2.6666666666666665,1,1.3333333333333333,7,3.75,-3.25,3,1,2,6,9,Somewhat Disagree,H,18,1,1,1,3,4,3,4,2,3,3,1,2,1,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Rather important,Very important,Not at all important,Rather important,8,4,3,8,6,7,6,7,7,4,7,2,7,7,Female,18-24,Labour,Very liberal,Above average,Student,Some college / university,Single (never married),0,1,7,No,"10,000 to 100,000 inhabitants",I moved once or twice,"Leicestershire, Rutland and Northamptonshire","Leicestershire, Rutland and Northamptonshire",NA,No,NA,3,1,2,2,1,1,4,3,4,£,0.067,allofirst,firstletter,H,J,recipient,10,0.67
p019,2022-04-04,03:15:06,03:25:23,100,617,01,GBR,EN-GB,S,10,20,10,10,10,10,10,20,20,10,10,0,10,10,20,5.25,4.25,1,6,5.25,0.75,7,4.5,2.5,3,3.6666666666666665,2.6666666666666665,1,2,5.666666666666667,5.25,-0.41666666666666696,4,2,1,7,8,Somewhat Disagree,S,18,1,1,1,3,4,3,4,2,3,3,2,2,2,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents have a life of their own and should not be asked to sacrifice their own well-being for the sake of their children.,Very important,Very important,Not at all important,Rather important,6,6,5,5,6,5,5,6,5,5,6,5,5,6,Female,25-34,No affiliation,Moderate,Average,Employed (full-time),Completed college / university,Single (never married),0,1,5,Yes,"Up to 2,000 inhabitants",I moved once or twice,Northern Ireland,Northern Ireland,NA,No,NA,1,2,4,3,1,3,3,1,4,£,0.067,allofirst,secondletter,S,P,recipient,10,0.67
p020,2022-04-04,03:16:23,03:26:45,100,622,01,GBR,EN-GB,J,20,20,15,15,12,5,10,15,10,0,15,-3,5,5,10,5.75,2.5,3.25,6.75,5.5,1.25,6.25,6,0.25,4,3.6666666666666665,3,0.6666666666666665,2.3333333333333335,7.333333333333333,4,-3.333333333333333,4,1,2,7,7,Somewhat Disagree,J,18,1,1,1,3,4,3,4,3,3,3,2,3,2,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Rather important,Rather important,6,1,5,4,9,6,9,9,3,9,7,1,6,9,Female,18-24,Labour,Somewhat liberal,Average,Student,Post-graduate degree,In a relationship (but currently unmarried),0,1,4,Yes,"10,000 to 100,000 inhabitants",I moved 3-5 times,Greater Manchester,Greater Manchester,Attitudes towards others depending on demographic,No,NA,1,1,4,1,1,2,3,1,5,£,0.067,allofirst,secondletter,J,H,allocator,20,1.34
p021,2022-04-04,03:17:49,03:27:35,100,585,01,GBR,EN-GB,J,15,20,20,15,20,20,10,20,20,5,20,5,20,10,20,4.5,2.25,2.25,5.75,2.75,3,5,2,3,5,2.3333333333333335,1.6666666666666667,0.6666666666666667,1.3333333333333333,6,3.75,-2.25,3,1,2,6,11,Somewhat Disagree,J,18,1,1,1,3,3,1,3,2,1,2,1,2,1,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Rather important,Not very important,Not very important,Not very important,3,3,4,5,4,6,4,6,6,5,6,4,6,5,Male,25-34,No affiliation,A little conservative,Below average,Employed (full-time),Completed college / university,Single (never married),0,1,8,Yes,"Up to 2,000 inhabitants",I moved 3-5 times,Derbyshire and Nottinghamshire,Derbyshire and Nottinghamshire,People's attitudes to outsiders,No,NA,2,2,2,3,2,2,4,2,4,£,0.067,attfirst,secondletter,J,H,recipient,10,0.67
p022,2022-04-04,03:16:21,03:27:56,100,695,01,GBR,EN-GB,S,10,15,13,10,10,10,10,12,10,5,13,0,10,2,10,6,3.5,2.5,6,5.75,0.25,5.75,6,-0.25,3,3.6666666666666665,3,0.6666666666666665,2.3333333333333335,6.333333333333333,7,0.666666666666667,4,2,2,8,6,Somewhat Disagree,S,18,1,1,1,3,4,3,4,3,3,3,2,3,2,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Not very important,Rather important,7,7,7,6,8,4,7,8,5,7,7,7,5,8,Female,25-34,No affiliation,Moderate,Average,Employed (part-time),Some college / university,In a relationship (but currently unmarried),1,1,3,No,"10,000 to 100,000 inhabitants",I moved once or twice,East Yorkshire and Northern Lincolnshire,East Yorkshire and Northern Lincolnshire,Feelings towards other groups of people and family members,No,NA,2,4,2,4,2,3,3,2,3,£,0.067,attfirst,secondletter,S,P,allocator,10,0.67
p023,2022-04-04,03:15:41,03:28:05,100,744,01,GBR,EN-GB,K,10,10,10,10,10,10,10,10,10,0,10,0,10,0,10,4,4.75,-0.75,7,5.5,1.5,7,4.75,2.25,1,3.3333333333333335,3,0.3333333333333335,2.6666666666666665,5.666666666666667,7.75,2.083333333333333,4,1,2,7,17,Strongly Disagree,K,18,0,1,1,2,4,3,3,3,3,3,3,3,2,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Rather important,Very important,9,9,9,5,9,5,8,6,5,9,6,5,5,6,Female,25-34,No affiliation,Moderate,Average,Other,Completed college / university,In a relationship (but currently unmarried),2,0,14,No,"Up to 2,000 inhabitants",I moved once or twice,"Leicestershire, Rutland and Northamptonshire","Leicestershire, Rutland and Northamptonshire",NA,No,NA,1,3,5,1,1,3,1,1,5,£,0.067,allofirst,firstletter,K,M,recipient,10,0.67
p024,2022-04-04,03:16:17,03:28:33,100,735,01,GBR,EN-GB,J,10,20,20,15,15,10,10,15,15,10,20,0,10,5,15,5.5,3,2.5,4.5,5.25,-0.75,7,6.25,0.75,5,3.3333333333333335,2.6666666666666665,0.666666666666667,2.3333333333333335,7,7,0,4,1,2,7,4,Somewhat Disagree,J,18,1,1,1,3,4,3,3,2,3,3,3,2,2,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Very important,Not at all important,Very important,6,8,7,6,8,8,9,8,6,6,5,4,5,6,Female,25-34,No affiliation,Moderate,Average,Employed (full-time),Some college / university,Married,1,0,2,No,"10,000 to 100,000 inhabitants",I moved once or twice,Shropshire and Staffordshire,Shropshire and Staffordshire,Enjoyable,No,NA,1,2,1,4,1,2,4,2,3,£,0.067,attfirst,secondletter,J,H,allocator,15,1.005
p025,2022-04-04,03:15:59,03:28:59,100,780,01,GBR,EN-GB,P,12,15,10,12,12,12,15,16,10,3,10,0,12,1,10,4.25,4.25,0,4.25,4.25,0,4.25,4.25,0,5,2.3333333333333335,2,0.3333333333333335,2,7.666666666666667,5,-2.666666666666667,3,1,2,6,10,Somewhat Disagree,P,18,1,1,1,3,2,2,3,2,2,2,2,2,2,One does not have the duty to respect and love parents who have not earned it by their behavior and attitudes.,Parents' duty is to do their best for their children even at the expense of their own well-being.,Rather important,Rather important,Not very important,Not very important,5,5,5,5,5,5,5,9,5,5,9,5,5,5,Female,45-54,Other party,A little liberal,Average,Employed (full-time),Completed college / university,Married,1,4,4,No,"10,000 to 100,000 inhabitants",I moved once or twice,West Wales and The Valleys,West Wales and The Valleys,N/A,No,NA,3,3,3,3,3,3,3,3,3,£,0.067,allofirst,firstletter,P,S,allocator,12,0.804
p026,2022-04-04,03:14:45,03:29:00,100,855,01,GBR,EN-GB,H,10,10,10,10,10,8,20,10,10,0,10,0,8,-10,10,5,4.75,0.25,5.25,5,0.25,5,5.25,-0.25,3,2.6666666666666665,2.6666666666666665,0,2.6666666666666665,5.666666666666667,5.75,0.08333333333333304,4,2,2,8,9,Somewhat Disagree,H,18,1,1,1,3,3,2,3,2,3,3,2,3,3,"Regardless of what the qualities and faults of one's parents are, one must always love and respect them.",Parents' duty is to do their best for their children even at the expense of their own well-being.,Very important,Rather important,Not very important,Rather important,6,7,6,3,8,5,3,5,6,4,7,7,4,7,Male,45-54,Labour,Moderate,Average,Employed (part-time),Post-graduate degree,Married,1,1,6,No,"More than 500,000 inhabitants",I moved once or twice,East Wales,East Wales,Relationships and trust with family,No,NA,2,2,4,2,1,1,5,1,5,£,0.067,attfirst,firstletter,H,J,allocator,10,0.67
